id,title,description,category,difficulty_level,estimated_days,created_at,updated_at,is_template,num_courses,num_sections
66,Intermediate Backend Development Mastery,Custom learning path based on user structure: Intermediate Backend Development Mastery,Fundamentals of Scalable Backend Architecture,intermediate,30,2025-04-30T20:44:41,2025-04-30T20:44:41,False,5,0
67,Intermediate Quantum Physics Mastery,Custom learning path based on user structure: Intermediate Quantum Physics Mastery,Fundamentals of Quantum Mechanics,intermediate,30,2025-04-30T22:47:47,2025-04-30T22:47:47,False,3,0
68,Enhance Your Critical Thinking Skills,Custom learning path based on user structure: Enhance Your Critical Thinking Skills,Foundations of Critical Thinking,intermediate,30,2025-04-30T22:50:03,2025-04-30T22:50:03,False,3,0
69,Intermediate Quantum Physics: A 30-Day Guided Exploration,Custom learning path based on user structure: Intermediate Quantum Physics: A 30-Day Guided Exploration,Foundations of Quantum Mechanics,intermediate,30,2025-05-01T02:21:19,2025-05-01T02:21:19,False,0,0
70,Intermediate Machine Learning Roadmap,Custom learning path based on user structure: Intermediate Machine Learning Roadmap,Foundations of Machine Learning,intermediate,30,2025-05-01T04:48:08,2025-05-01T04:48:08,False,0,0
71,Mastering Intermediate Public Speaking,Custom learning path based on user structure: Mastering Intermediate Public Speaking,Crafting Effective Speeches,intermediate,30,2025-05-01T05:50:47,2025-05-01T05:50:47,False,0,0
72,Mastering Intermediate Public Speaking,Custom learning path based on user structure: Mastering Intermediate Public Speaking,Crafting Effective Speeches,intermediate,30,2025-05-01T05:53:55,2025-05-01T05:53:55,False,0,0
73,Intermediate Quantum Physics Learning Path,Custom learning path based on user structure: Intermediate Quantum Physics Learning Path,Foundations of Quantum Mechanics,intermediate,30,2025-05-01T05:57:43,2025-05-01T05:57:43,False,0,0
74,Intermediate Dinosaur Facts Exploration,Custom learning path based on user structure: Intermediate Dinosaur Facts Exploration,Dinosaur Evolution and Early History,intermediate,30,2025-05-01T06:01:42,2025-05-01T06:01:42,False,0,0
75,Intermediate Design Thinking Mastery,Custom learning path based on user structure: Intermediate Design Thinking Mastery,Foundations of Design Thinking,intermediate,30,2025-05-01T06:03:19,2025-05-01T06:03:19,False,0,0
146,Curious by Nature: Learn Anything Fast,Custom learning path based on user structure: Curious by Nature: Learn Anything Fast,The Learning Mindset,beginner,30,2025-05-01T18:54:21,2025-05-01T18:54:21,False,3,9
155,Discovering Dinosaurs: Intermediate Facts and Insights,Custom learning path based on user structure: Discovering Dinosaurs: Intermediate Facts and Insights,The Age of Dinosaurs: An Overview,Intermediate,30,2025-05-02T20:47:52,2025-05-02T20:47:52,False,4,0
156,Understanding Human-Centered AI,Custom learning path based on user structure: Understanding Human-Centered AI,Introduction to Human-Centered AI,Advanced,30,2025-05-02T20:50:14,2025-05-02T20:50:14,False,3,0
158,Intermediate Graphic Design Portfolio Builder,Custom learning path based on user structure: Intermediate Graphic Design Portfolio Builder,Refining Your Graphic Design Skills,Intermediate,30,2025-05-02T22:25:11,2025-05-02T22:25:11,False,4,0
161,Intermediate Path to Human Interaction,Custom learning path based on user structure: Intermediate Path to Human Interaction,Effective Communication Strategies,Intermediate,30,2025-05-02T23:39:41,2025-05-02T23:39:41,False,4,0
162,Path to Challenger: TFT Mastery,Custom learning path based on user structure: Path to Challenger: TFT Mastery,Foundations of TFT Strategy,Intermediate,30,2025-05-02T23:40:37,2025-05-02T23:40:37,False,4,0
163,Breaking Free: A 30-Day Journey to Self-Control and Mindfulness,Custom learning path based on user structure: Breaking Free: A 30-Day Journey to Self-Control and Mindfulness,Understanding the Root Causes of Compulsive Behavior,Intermediate,30,2025-05-02T23:51:56,2025-05-02T23:51:56,False,3,0
164,Mastering Manual Car Driving,Custom learning path based on user structure: Mastering Manual Car Driving,Understanding Manual Transmission Basics,Advanced,30,2025-05-02T23:55:34,2025-05-02T23:55:34,False,3,0
165,Intermediate Computer Systems in Computer Science,Custom learning path based on user structure: Intermediate Computer Systems in Computer Science,Introduction to Computer Architecture,Intermediate,30,2025-05-03T00:02:22,2025-05-03T00:02:22,False,4,0
166,Intermediate Graphic Design Mastery,Custom learning path based on user structure: Intermediate Graphic Design Mastery,Advanced Adobe Photoshop Techniques,Intermediate,30,2025-05-03T00:58:20,2025-05-03T00:58:20,False,3,0
167,Mastering Human Anatomy for Drawing,Custom learning path based on user structure: Mastering Human Anatomy for Drawing,Understanding Human Anatomy,Beginner,30,2025-05-03T02:09:00,2025-05-03T02:09:00,False,3,0
168,Intermediate Learning Path in Electronics and Information (电子信息),Custom learning path based on user structure: Intermediate Learning Path in Electronics and Information (电子信息),Intermediate Circuit Design and Analysis,Beginner,30,2025-05-03T02:18:37,2025-05-03T02:18:37,False,4,0
169,Mastering 10 Basic Thai Words in 30 Days,Custom learning path based on user structure: Mastering 10 Basic Thai Words in 30 Days,Course 1: Introduction to Thai Language Basics,Advanced,30,2025-05-03T02:32:59,2025-05-03T02:32:59,False,3,0
